num,titulo_empleo,descripcion_empleo,etiquetas_empleo
10,Busco un developer backend con experiencia con el MERN Stack -- 3,"Busco un developer backend con experiencia con el MERN Stack

Busco a alguien que pueda trabajar 40 horas a la semana minimo.
Alguien que tenga experiencia con Node Js , Mongo Db , React , Express , Javascript , PHP.

Se busca alguien ideal que hable espanol & que se pueda integrar rapido a los task & al equipo.","[""AngularJS"", ""JavaScript"", ""Node.js"", ""NoSQL Couch y Mongo"", ""PHP""]"
11,JUNIOR UI/ FRONTEND DEVELOPER,"Le Guide Noir ayuda a las empresas a aumentar su rentabilidad a través de la centralización en un solo software de distintas herramientas para la gestión de sus redes sociales.

Desde el departamento de producto, buscamos un perfil híbrido UI/Frontend Developer para seguir mejorando nuestra plataforma. Colaborará en los nuevos desarrollos, mano a mano con el departamento de programación. Buscamos alguien con sensibilidad por el diseño y atención a los detalles, especialmente desde el punto de vista de funcionalidad de producto. Una persona capaz de afrontar retos y encontrar soluciones a problemas dentro del entorno web, resolutiva, proactiva, con ganas de trabajar y aprender.

¿Cuál sería tu papel en la em...","[""Diseño gráfico"", ""HTML"", ""HTML5"", ""PHP"", ""Diseño de sitios web""]"
12,Mantenimiento evolutivo y nuevos desarrollos,"Buscamos un fullstack developer para que pueda dar soporte part time al mantenimiento y desarrollo evolutivo de un grupo de aplicaciones que posee la empresa.
Las aplicaciones se encuentran desarrolladas en Python, PHP, Java entre otros y están alojadas en AWS.","[""Amazon Web Services"", ""Desarrollador de aplicaciones"", ""App Development"", ""Full Stack Development"", ""Git"", ""Java"", ""Desarrollo de apps móviles"", ""PHP"", ""Python""]"
13,Busco un developer Full Stack con experiencia con el MERN Stack,"Busco un developer backend con experiencia con el MERN Stack

Busco a alguien que pueda trabajar 40 horas a la semana minimo.
Alguien que tenga experiencia con Node Js , Mongo Db , React , Express , Javascript , PHP.

Se busca alguien ideal que hable espanol & que se pueda integrar rapido a los task & al equipo.","[""AngularJS"", ""JavaScript"", ""Node.js"", ""NoSQL Couch y Mongo"", ""PHP""]"
14,Kali developer to edit script and make it works -- 2,"Necesito desarrollador para usar un script en Kali y que me explique cómo funciona y cómo se usa.
Para ello necesito que conecte por Anydesk con mi ordenador para poderlo ejecutar","[""JavaScript"", ""PHP"", ""Python"", ""Instalación de scripts"", ""Arquitectura de software""]"
15,Developer de iOS en Costa Rica,"Se busca un desarrollador de iOS , buen ingles se valora

Bien remunerado","[""Android"", ""iOS Development"", ""iPhone"", ""Desarrollo de apps móviles"", ""Swift""]"
16,Mejoras marketplace desarrollado con Bubble.io,"Findnfill es la plataforma de alquiler de espacios de trabajo entre profesionales. Actualmente la tenemos desarrollada para el alquiler por días, con integración de Stripe como pasarela de pago, pero lo que queremos es incluir la opción de alquiler mensual por suscripción.

A través del siguiente podéis acceder a la web par...la plataforma de alquiler de espacios de trabajo entre profesionales. Actualmente la tenemos desarrollada para el alquiler por días, con integración de Stripe como pasarela de pago, pero lo que queremos es incluir la opción de alquiler mensual por suscripción.

A través del siguiente podéis acceder a la web para entender el funcionamiento: 

Buscamos un/a full stack developer pa...","[""Bubble Developer"", ""Full Stack Development"", ""Google APIs"", ""API de Google Maps"", ""Stripe""]"
17,Solucionar y Actualizar Problemas de Script de Intercambio Social,"El script se llama: PES Pro fue creado hace 3 años aproximadamente, la version del facebook developer es el gran problema e inconveniente, por que asi tengamos aprobada y en función la app de facebook.

Necesito solucionar problemas de vinculación y actualización de los archivos de funcionamiento API de facebook e instagram entre otos módulos que no funcionan como debe funcionar, ,( ejemplo: no da like, no da a fotos, ni favoritos, no comparte,facebook e instagram y el objetivo de la plataforma es de plataforma de intercambio social al estilo like4like o addmefast . 

Mi caso personal:
me vendieron un script pero tiene ciertos inconvenientes, detalles problemas que no me permiten el buen funcionamiento , los vendedores no dan soporte alguno  y nece...","[""JSON"", ""PHP"", ""phpMyAdmin"", ""Instalación de scripts"", ""Social Engine""]"
18,"Publicar apps ios en mi perfil de developer , app de radio de codecanyon","Requisitos:

- vivir en Latinoamerica o hablar español fluido
- Pago por paypal o si sos argentino por cvu (publicar en pesos arg)

Trabajo:

Tengo una app de ios simple, pequeña que hay que cambiar unos datos de stream, logo y publicarla en MI perfil de desarrollador de Apple Store. (daremos todos los accesos necesarios)

Si bien necesito un precio unitario para hacer ese trabajo, tener en cuenta que proyectamos vamos a enviar entre 5 a 10 apps mensuales para hacer si el trabajo se hace correctamente, y con buenos tiempos 

la app ya la hemos publicada y funciona perfecto  es esta 

Hacerme preguntas en español, cualquier pregunta o contacto en ingles sera baneado.","[""iOS Development"", ""iPad"", ""iPhone"", ""Desarrollo de apps móviles""]"
19,Desarrollo Unreal,"Hola, buscamos game developer para adaptación de formación actual a plataforma Unreal, proyecto MPV sin grandes desarrollos de diseño 3d (kits y recursos adquiridos), buscamos la funcionalidad del proyecto.
Precios cerrados por Fases o Sprint Scrum consignados con Dev.

Preferible idioma Español","[""Animación 3D"", ""Modelado 3D"", ""Renderización 3D"", ""Diseño de juegos"", ""Unreal Engine""]"
20,Sharepoint Developer,Conocimientos específicos exigidos obligatorios: 1) Desarrollo de aplicaciones  en SharePoint 2010. 2) Desarrollo de aplicaciones  en SharePoint 2019. 3) Desarrollo de aplicaciones  en SharePoint online. CERTIFICACION OBLIGATORIA: Developing Microsoft  SharePoint Server 2013 (core o Advanced Solutions) (o la nueva certificación),"[""Microsoft"", ""Sharepoint""]"
21,"Buscamos programador Full stack, con conocimientos de php laravel, ionic, y kubernetes","Buscamos programador con conocimientos demostrables de php laravel, ionic y kubernetes.
Tenemos una web app funcionando y buscamos un full stack developer para su mantenimiento.
No sería a tiempo completo.
Se pide español muy fluido.","[""AngularJS"", ""Ionic Framework"", ""Kubernetes"", ""Laravel"", ""PHP""]"
22,Web full stack developer,"Hola Md. Golam S., vi tu perfil y me gustaría ofrecerte mi proyecto. Podemos conversar por chat acerca de los detalles.","[""Angular Material"", ""MongoDB"", ""Vue.js"", ""Web API"", ""Web Development""]"
23,FRONTEND DEVELOPER,"Precisamos front-end developer para proyecto de diseño y desarrollo de un nuevo website desde cero, incluyendo una pequeña fase de definición inicial, diseño visual y de interacción, maquetación y desarrollo. Será necesario crear los servicios necesarios para la conexión con el backend (que desarrolla otro equipo) a través de los endpoints facilitados. En concreto, necesitamos:

Crear un flujo de registro de usuarios, de inicio de sesión y recuperación de contraseña, además de incluir un sistema de pago a través de una pasarela como Stripe o similares y de control de pagos. Una vez el usuario accede a su cuenta, podrá ver la información necesaria que provenga del backend. ...","[""Chart.js"", ""Frontend Development"", ""JavaScript"", ""React.js"", ""Redux.js""]"
24,Senior Mobile Developer,"Se requiere senior flutter para concretar remaquetacion en app, que esta finalizado solo que ahi que genera modificaciones y desarrollo en un 20% de trabajo, se requiere trabajar con un equipo de trabajo donde la comunicación es por wats ya que se tiene que estar concretando el trabajo diario.

Puede ser persona o empresa Condiciones de Trabajo:
Se paga solo por proyecto.
Personas con idioma español.
Se requiere trabajar 5 horas diarias se documenta el trabajo diario.
Refactorizar el código para tener una muy buena documentación.
Agregar arquitectura MVC para tener la mejor administración.
Paso final publicar APP IOS y ANDROID Personal con experiencia Todos los requisitos son necesarios, la contratación es por la plataforma 
Se requiere trabajos pa...","[""Desarrollador de aplicaciones"", ""Dart"", ""Flutter"", ""Full Stack Development"", ""Desarrollo de apps móviles""]"
25,Busco un developer Front end para que entre a nuestro equipo/,"stoy buscando a alguien con experiencia en Node js, javascript y MongoDB que pueda ayudarnos a crear algunas lógicas complejas y crear la arquitectura de back-end de un par de aplicaciones en las que estamos trabajando.

Estamos buscando a alguien que pueda unirse al equipo y trabajar de 30 a 40 horas por semana.","[""AngularJS"", ""Express JS"", ""JavaScript"", ""Node.js"", ""NoSQL Couch y Mongo""]"
26,Ayuda Ebay developer API,Estoy buscando alguien que me pueda ayudar a configurar mi cuenta de Ebay Developer para poder usarla en marketing de afiliados con Wordpress.,"[""eBay"", ""Comercio electrónico""]"
27,Dar mejoras al sistema web - Typescript,"Se necesita un experto Developer full stack para dar mantenimiento al sistema web que tenemos. la tarifa es por horas de trabajo. 
skills:
-Javascript 
-Typescript 
 
 
 
-Ubuntu 
-Postgresql
-Español
-conocimiento de deploy a productivo en servidor en la nube (enova).
personas de habla hispana","[""HTML5"", ""JavaScript"", ""Node.js"", ""NoSQL Couch y Mongo"", ""PostgreSQL""]"
28,Senior Full Stack developer (e-commerce),"está buscando un/una desarrollador/ingeniero sénior para una oportunidad de trabajo en nuestra empresa en crecimiento. Brindamos servicios a la industria e-commerce trabajando para una amplia gama de empresas con servicios de desarrollo web, desarrollo de apps y marketing digital. El puesto es a tiempo completo y remoto (habra un día opcional una vez a la semana para trabajar en presencial). El rango salarial es de 2,200 a 2,400 usd mensuales

Responsabilidades
Diseñar y desarrollar funcionalidad comercial en soluciones web de varios niveles mientras mejora la infraestructura y la calidad del código.
Trabajar en estrecha colaboración con los desarrolladores front-end para garantizar la integridad de la interfaz de usuario durante todo el ciclo de ...","[""PHP"", ""Shopify"", ""Vue.js""]"
29,"Developer, Shopify.","Necesito el servicio de un desarrollador shopify, que maneje bien todo el tema de personalización a nivel de código de liquid  y que tenga amplio conocimiento en la personalización de themes con código, así como conocimiento en la parametrización y carga de colecciones, con sus subcategorías. 

Todo se encuentra ya preparado. solo faltan en el sitio algunas personalizaciones y carga de coleciones.
el tema ya se compro original de la tienda con el nombre warehouse.","[""Liquid Template"", ""PHP"", ""Shopify"", ""Plantilla para Shopify"", ""Diseño de sitios web""]"
30,need a wordpress developer who can fix JS,necesita un desarrollador de wordpress que pueda arreglar JS .,"[""Copy Editing"", ""Mecanografía"", ""Excel"", ""Word""]"
31,front-end development,"Hi, we are finanfox, a wealthtech based in Spain.
we're looking for a fron-end developer that can develop very quick and efficiently CSS and HTML","[""CSS"", ""Frontend Development"", ""HTML""]"
32,implementar módulo de recarga PayPal en front end de una app híbrida,"...saldo a través de PayPal con una app desarrollada en Ionic:  Ya tengo el backend listo, necesito desarrollar el front en la app.
He agregado una imagen de cómo se ve la aplicación. También quiero mostrar estos estados en la sección ""Postulación"": contratado, analizando propuestas, pendiente, no contratado.

EN: I am looking for a developer to improve something in my app. I need to implement PayPal recharge module in the front end of a hybrid app built in Ionic. I have the backend ready, I need to developed the front in the app.
I've added a picture of how the app looks like. I also want to show these statuses under the  ""Postulación"" section: contratado, analizando propuestas, pendiente, no contratado. ...","[""AngularJS"", ""Ionic Framework"", ""Ionic React"", ""Desarrollo de apps móviles"", ""Payment Gateway Integration"", ""Payment Processing"", ""PayPal"", ""API de PayPal""]"
33,Creación de plataforma educativa | Fullstack developer | Spanish Skill,"Se busca Fullstack Developer para proyecto educativo con una dedicación horaria full time durante 3 meses (con opción a extender).

Requisitos:
- Node.js
- Vue.js
- MongoDB

Adjuntar CV a la postulación (excluyente)
Es necesario HABLAR español - nivel intermedio (excluyente)","[""Express JS"", ""MongoDB"", ""Node.js"", ""Vue.js""]"
34,Creación de plataforma educativa | Fullstack developer,"Se busca Fullstack Developer para proyecto educativo con una dedicación horaria full time durante 3 meses (con opción a extender).

Requisitos:
- Node.js
- Vue.js
- MongoDB

Adjuntar CV a la postulación (excluyente)","[""Express JS"", ""MongoDB"", ""Node.js"", ""Vue.js""]"
35,A senior SQL Server developer responsible for migrating ERP data from Baan ERP to SAP is required.,"Description:
- Exponentia Team is seeking candidates for a Senior SQL Server Developer role. This role will be responsible for migrating the ERP data of a major client from Baan ERP to SAP, making use of SAP Advanced Data Migration and Management Tool (SAP ADMMT) to perform mappings and transformations (ETL). Selected candidates will have strong SQL Server, T-SQL and SSMS skills. The candidate should be highly proficient in working with large databases and have hands-on experience designing complex queries, stored procedures, views, functions, and performance tuning. Selected candidates will attend targeted SAP ADMMT training (if not qualified). Experience working in a team-oriented, collaborative environment.

Education:
- Bachelor’s Degree in Computer Science or related fiel...","[""Desarrollo de base de datos"", ""Programación de bases de datos"", ""Servidor de Microsoft SQL"", ""SAP"", ""T-SQL (Transact Structures Query Language)""]"
36,Discord Developer,"Soy famas, un Discord Developer, con más de 2 años y media de experiencia en la aplicación y con más de 20 servidores de todo tipo realizados desde cero, (Servidores de FiveM, Comunidades Gamer) y mucho más, si estás interesado no dudes en preguntarme!","[""Discord"", ""Web Development""]"
37,React Native Developer,"Necesitamos un perfil React Native developer para trabajar por 3 meses en el desarrollo de una plataforma de managment para un cliente en Estados Unidos (no es necesario hablar inglés, solo lectura y escritura) se espera una disponibilidad mensual mínima de 160 horas . 
Si bien el trabajo es remoto, orientamos la búsqueda preferentemente hacia personas que vivan en Argentina. 
El salario es en dólares ( de 35 a 40 usd x hora) y la modalidad es contractor.","[""React Native"", ""React.js"", ""React.js Framework""]"
38,Profesional en Acquia Certified Developer - Drupal,"Se requiere Presentar el título de bachillerato en informática empresarial, bachillerato en ciencias de la computación, bachillerato en Ingeniería en Sistemas de Información o bachillerato en ingeniería eléctrica

Se requiere Certificar al menos dos años de experiencia laboral profesional.
Se requiere que el Profesional Posea Presentar certificación: Acquia Certified Developer - Drupal 9
Se requiere Certificado haber participado en la implementación de al menos 4 proyectos de implementación de software opensource como parte del personal de planta de la empresa oferente.","[""Drupal"", ""HTML"", ""PHP"", ""Traducción"", ""Diseño de sitios web""]"
39,Frontend developer -- 4,"¡Hola! 
Necesito un presupuesto para una landing page para un festival, el diseño ya sería  pre-establecido (todavía no están claros los temas estéticos (ej paleta cromática, tipografías, diseño de jpgs), pero es simple. 
La landing consta de cuatro secciones dentro de un html.
Primera sección: nombre del festival+ logo + buttons redes sociales.
Segunda sección: Line-up (esto sería un jpg ya diseñado)
Tercera sección: jpg + Descripción de tickets + buttons para la compra de los mismos. 
Cuarta sección: jpg + información adicional (ej mapa ilustrativos + información de ubicación y horarios). 
Eso masomenos para que te hagas una idea de cómo está e...","[""CSS"", ""HTML"", ""HTML5"", ""JavaScript"", ""Diseño de sitios web""]"
40,Desarrollo app Unity 3D,"Somos Oreka Interactive, una empresa especializada en soluciones XR (Realidad Virtual, Aumentada y Mixta) con más de 8 años y 140 proyectos de experiencia. Desarrollamos nuestra actividad en el ámbito nacional e internacional.

Buscamos contratar un/a developer freelancer especializad@ en Unity 3D para formar parte del desarrollo de una aplicación con tecnologías XR con alcance internacional.

Esta app está DESARROLLADA AL 95%, la persona seleccionada colaborará con el equipo de desarrollo interno hasta la fecha de publicación en los stores digitales.

Las tareas que se habrán de terminar de desarrollar están  relacionadas con sesiones de visualización de contenidos 3D en modo multiusuario, con la publicaci...","[""Desarrollo ágil"", ""Git"", ""Scrum"", ""Unity 3D""]"
41,Angular front-end developer -- 2,"...implementar el API usando servicios y estados siguiendo las mejores prácticas de Angular.
- Atención al detalle para obtener un producto con el mejor UX posible (feedback para el usuario al completar acciones, transiciones, etc).
- Gran comodidad trabajando con git (utilizar títulos de commits útiles, conocimiento sobre distintas estrategias de merge, etc).

-- English
We're looking for a front-end developer with knowledge of Angular.

The job is to complete a dashboard and connect it to an API we provide. In addition, we want to port it to mobile using http://capacitorjs.com.

Requirements:
- Experience in coding provided designs based on Adobe XD.
- Good understanding of interaction with REST APIs in frontend interfaces.
- Excellent knowledge of...","[""Angular"", ""HTML"", ""HTML5"", ""JavaScript"", ""Node.js""]"
42,Developer sin frameworks PHP Nativo para conectar una pagina web a un API extensa con webhooks,"Un proyecto de pagina web en el cual necesito conectar una api de la aplicacion Centry,  la cual debe hacerse una suscripción a el webhook.","[""API"", ""HTML"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
43,Necesito un Wordpress developer,"Marketplace de productos y servicios, es necesario que el candidato maneje con soltura los lenguajes de código que utiliza Wordpress tanto para modificar cosas de la propia página como para editar plugins. 
Gracias.","[""CSS"", ""HTML"", ""PHP"", ""Diseño de sitios web"", ""WordPress""]"
44,Necesito a Game Developer -- 2,Creacion de videojuegos de carreras de autos con NFTS y apuestas.,"[""Android"", ""Diseño de juegos"", ""Desarrollo de juegos"", ""iPhone"", ""Desarrollo de apps móviles""]"
45,Necesito a Game Developer,Creacion de videojuegos de carreras de autos con NFTS y apuestas.,"[""Android"", ""Diseño de juegos"", ""Desarrollo de juegos"", ""iPhone"", ""Desarrollo de apps móviles""]"
46,Senior Full Stack Developer,"Programador senior con perfil full stack. Conocimientos y experiencia (1 año) en desarrollo móvil con tecnología React Native, conocimientos en desarrollo WEB .NET y API Rest, en BD relacional y programación TSQL, así como nociones de BD no relacional (COSMOSDB), también en despliegues en cloud e integración con servicios PaaS preferiblemente sobre Azure. Se valorara conocimientos en IoT.

Jornada completa, flexibilidad horaria, semipresencial.

Preferiblemente residente en Murcia o provincias colindantes.","["".NET"", ""Azure"", ""Internet of Things (IoT)"", ""React Native"", ""T-SQL (Transact Structures Query Language)""]"
47,Necesito una app developer,Quiero crear una juego para dispositivos celulares. Mecánicas simples.,"[""Android"", ""iPhone"", ""Desarrollo de apps móviles"", ""Objective C"", ""PHP""]"
48,Project for Fullstack Developer -- 2,"Hola Fullstack Developer, vi tu perfil y me gustaría ofrecerte mi proyecto. Podemos conversar por chat acerca de los detalles.","[""Magento"", ""PHP"", ""Prestashop"", ""Diseño de sitios web"", ""WordPress""]"
49,Project for Fullstack Developer,"Hola Fullstack Developer, vi tu perfil y me gustaría ofrecerte mi proyecto. Podemos conversar por chat acerca de los detalles.","[""Magento"", ""PHP"", ""Prestashop"", ""Diseño de sitios web"", ""WordPress""]"
50,Sip Smart Coffee,"...24/7 de forma automática.

El **Smart Coffee** utiliza tecnologías IoT para integrar el mundo físico con el digital, lo que  permite tener un control total de la cafetería sin importar donde estés. Ofrecemos nuestro Smart Coffee a quienes operan cafeterías, cantinas, restaurantes o cualquier negocio gastronómico y quieran desarrollar un negocio autónomo.

Nos encontramos en la búsqueda de un/a developer que le interese la robótica y el IoT. Una persona que esté dispuesta a aprender y desafiarse en el día a día, que pueda liderar equipos, que le guste innovar y sin miedo a equivocarse. Nos interesa que dicha persona sea productiva, tenga ganas de salir de su zona de confort y por últi...","[""AngularJS"", ""MySQL"", ""Node.js"", ""Object Oriented Programming (OOP)"", ""Vue.js""]"
51,necesito web developer,"tengo la base de un sistema de catalogo online con pedido via WhatsApp, me falta un componente, que es justamente el proceso para el envío de el o los pedidos al numero de teléfono de whatsApp","[""HTML"", ""JavaScript"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
52,Integración AWS Lambda y SQS FIFO,"Deadline: Friday morning

I need a spanish speaking developer with experience in AWS Lambdas and AWS SQS. The final result is basically to create a lambda function reading a SQS queue and make a Hubspots API call.

More info here: 


Hola,

Necesitamos desarrollar una solución usando colas de AWS. Tenemos un backend que ya está mandando mensajes a la cola que luego deben procesarse en orden por un lambda y llamar al API de Hubspot.

Requerimos esta integración y es importante que sea en el orden correcto, por otra parte debe manejar reintentos por si alguna llamada falla.

Solo desarrolladores de habla hispana, si leíste todo inicia tu propuesta con la palabra Hubspot. Necesitamos que este listo mañana al finalizar","[""Amazon Web Services"", ""AWS Lambda"", ""JavaScript"", ""Node.js"", ""Arquitectura de software""]"
53,power bi developer,"Somos Quantum! estamos en la búsqueda de un desarrollador web, que pueda: 1)Crear una página web desde cero (java) y conectarla con PowrBi (microsoft), nuestro objetivo es lograr conectar el website con las funcionalidades y reportes que genera PowerBi. 2)Mantenimiento y soporte para el sitio web, 3)Integración de servidores cloud 4)Atención técnica a clientes que usen el sitio web.  Buscamos perfiles con un portafolio abierto en el que podamos ver diseños web previos o con experiencia en este tipo de integraciones! Atentos a dudas, esperamos poder agendar una cita virtual para darles más detalles!","[""Java"", ""Microsoft PowerBI"", ""PHP"", ""Power BI"", ""Arquitectura de software"", ""Diseño de sitios web""]"
54,Busco Developer de Magento,"Hola Kevin, soy Juan Carlos, trabajo en una empresa de software de chile, estoy en busqueda de un manager de magento para un ecommerce. No somos agencia, desarrollamos software y requerimos mejorar y ofrecer un paquete completo de servicios  para nuestros clientes. Escribeme y te cuento más.

jbjcjm (IG)","[""API"", ""Desarrollador de aplicaciones"", ""ASP.NET"", ""Bootstrap"", ""Codeigniter""]"
55,SR Engineer Developer .NET - VALENCIA (Presencial),Buscamos un Sr .NET para unirse a un equipo de desarrolladores de software desde cero,"["".NET"", ""Programación en C#"", ""Servidor de Microsoft SQL"", ""Typescript""]"
56,Necesito un Word Press developer,"Pagina web de clases online, sin plugins","[""Diseño gráfico"", ""HTML"", ""PHP"", ""Diseño de sitios web"", ""WordPress""]"
57,Desarrollador senior PHP -- imprescindible nivel alto de español -- 2,"Somos una empresa española que desarrollamos soluciones cloud interactivas basadas en microservicios sobre un entorno AWS, las cuales actualmente tienen presencia en más de 60 países.

Buscamos a un Software Developer en Mexico u otro país de habla hispana, especializado en PHP (experiencia mínima de 3-4 años) para el desarrollo y mantenimiento de los sistemas de gestión de la empresa (ERP, CRM, HelpDesk), todo ello de desarrollo propio, trabajando remotamente en un marco de Agile Software Development dentro de nuestro equipo de R&D.

Requisitos:
- Experiencia con PHP, HTML, CSS y Javascript
- Experiencia con PostgreSQL
- Se valorará experiencia en Bootstrap y PL/pgSQL
- Se valorarán conocimientos en administraci&oac...","[""CSS"", ""HTML"", ""JavaScript"", ""PHP"", ""PostgreSQL""]"
58,Desarrollador senior Node.js -- imprescindible nivel alto de español,"Buscamos a un Back-end developer en México u otro país de habla hispana, especializado en Node.js (experiencia mínima de 2 años) para trabajar remotamente integrado con nuestro departamento de I+D (más de 20 personas). Desarrollamos soluciones cloud interactivas basadas en microservicios sobre un entorno AWS, las cuales actualmente tienen presencia en más de 60 países. 

Requisitos: 
- Experiencia en desarrollo con Nodejs para aplicaciones web de alta complejidad. 
- Experiencia con TypeScript
- Experiencia con ORM
- Experiencia con bases de datos relacionales (MySQL, PostgreSQL)
- Experiencia con APIs GraphQL
- Nivel alto de español e inglés.

Se valorarán (no imprescindibles):
- Experiencia en desarrollo de tien...","[""GraphQL"", ""MySQL"", ""Node.js"", ""Typescript""]"
